farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,crop_condition_description
FARM0001,North India,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,None,Organic,6.34,2024-01-08,2024-05-09,122,4408.07,SENS0001,2024-03-19,14.970941,82.997689,0.63,Mild,"Farm FARM0001 located in North India is cultivating Wheat. The soil moisture is 35.95%, pH level is 5.99, and temperature is 17.79°C. Rainfall recorded is 75.62 mm with a humidity of 77.03% and sunlight duration of 7.27 hours. Irrigation type used is None. Fertilizer type is Organic with a pesticide usage of 6.34 ml. Crop sowing started on 2024-01-08 and is expected to be harvested by 2024-05-09, spanning 122 days. Yield is 4408.07 kg/hectare. Sensor used is SENS0001 with data recorded on 2024-03-19. Location coordinates are (14.970941, 82.997689). NDVI index is 0.63 and crop disease status is Mild."
FARM0002,South USA,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,Sprinkler,Inorganic,9.6,2024-02-04,2024-05-26,112,5389.98,SENS0002,2024-04-21,16.613022,70.869009,0.58,None,"Farm FARM0002 located in South USA is cultivating Soybean. The soil moisture is 19.74%, pH level is 7.24, and temperature is 30.18°C. Rainfall recorded is 89.91 mm with a humidity of 61.13% and sunlight duration of 5.67 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 9.6 ml. Crop sowing started on 2024-02-04 and is expected to be harvested by 2024-05-26, spanning 112 days. Yield is 5389.98 kg/hectare. Sensor used is SENS0002 with data recorded on 2024-04-21. Location coordinates are (16.613022, 70.869009). NDVI index is 0.58 and crop disease status is None."
FARM0003,South USA,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,Drip,Mixed,15.26,2024-02-03,2024-06-26,144,2931.16,SENS0003,2024-02-28,19.503156,79.068206,0.8,Mild,"Farm FARM0003 located in South USA is cultivating Wheat. The soil moisture is 29.32%, pH level is 7.16, and temperature is 27.37°C. Rainfall recorded is 265.43 mm with a humidity of 68.87% and sunlight duration of 8.23 hours. Irrigation type used is Drip. Fertilizer type is Mixed with a pesticide usage of 15.26 ml. Crop sowing started on 2024-02-03 and is expected to be harvested by 2024-06-26, spanning 144 days. Yield is 2931.16 kg/hectare. Sensor used is SENS0003 with data recorded on 2024-02-28. Location coordinates are (19.503156, 79.068206). NDVI index is 0.8 and crop disease status is Mild."
FARM0004,Central USA,Maize,17.33,6.03,33.73,212.01,70.46,5.03,Sprinkler,Organic,25.8,2024-02-21,2024-07-04,134,4227.8,SENS0004,2024-05-14,31.071298,85.519998,0.44,None,"Farm FARM0004 located in Central USA is cultivating Maize. The soil moisture is 17.33%, pH level is 6.03, and temperature is 33.73°C. Rainfall recorded is 212.01 mm with a humidity of 70.46% and sunlight duration of 5.03 hours. Irrigation type used is Sprinkler. Fertilizer type is Organic with a pesticide usage of 25.8 ml. Crop sowing started on 2024-02-21 and is expected to be harvested by 2024-07-04, spanning 134 days. Yield is 4227.8 kg/hectare. Sensor used is SENS0004 with data recorded on 2024-05-14. Location coordinates are (31.071298, 85.519998). NDVI index is 0.44 and crop disease status is None."
FARM0005,Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,None,Mixed,25.65,2024-02-05,2024-05-20,105,4979.96,SENS0005,2024-04-13,16.56854,81.69172,0.84,Severe,"Farm FARM0005 located in Central USA is cultivating Cotton. The soil moisture is 19.37%, pH level is 5.92, and temperature is 33.86°C. Rainfall recorded is 269.09 mm with a humidity of 55.73% and sunlight duration of 7.93 hours. Irrigation type used is None. Fertilizer type is Mixed with a pesticide usage of 25.65 ml. Crop sowing started on 2024-02-05 and is expected to be harvested by 2024-05-20, spanning 105 days. Yield is 4979.96 kg/hectare. Sensor used is SENS0005 with data recorded on 2024-04-13. Location coordinates are (16.56854, 81.69172). NDVI index is 0.84 and crop disease status is Severe."
FARM0006,Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24.0,2024-01-13,2024-05-06,114,4383.55,SENS0006,2024-03-12,23.227859,89.421568,0.82,None,"Farm FARM0006 located in Central USA is cultivating Rice. The soil moisture is 44.91%, pH level is 5.78, and temperature is 24.87°C. Rainfall recorded is 238.95 mm with a humidity of 83.06% and sunlight duration of 4.92 hours. Irrigation type used is Sprinkler. Fertilizer type is Mixed with a pesticide usage of 24.0 ml. Crop sowing started on 2024-01-13 and is expected to be harvested by 2024-05-06, spanning 114 days. Yield is 4383.55 kg/hectare. Sensor used is SENS0006 with data recorded on 2024-03-12. Location coordinates are (23.227859, 89.421568). NDVI index is 0.82 and crop disease status is None."
FARM0007,North India,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,Manual,Mixed,39.29,2024-03-04,2024-07-27,145,4501.2,SENS0007,2024-07-11,25.224255,73.056785,0.76,None,"Farm FARM0007 located in North India is cultivating Soybean. The soil moisture is 36.28%, pH level is 7.04, and temperature is 21.8°C. Rainfall recorded is 123.38 mm with a humidity of 47.91% and sunlight duration of 4.02 hours. Irrigation type used is Manual. Fertilizer type is Mixed with a pesticide usage of 39.29 ml. Crop sowing started on 2024-03-04 and is expected to be harvested by 2024-07-27, spanning 145 days. Yield is 4501.2 kg/hectare. Sensor used is SENS0007 with data recorded on 2024-07-11. Location coordinates are (25.224255, 73.056785). NDVI index is 0.76 and crop disease status is None."
FARM0008,East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,2024-01-24,2024-05-24,121,5264.09,SENS0008,2024-04-30,23.317654,72.51521,0.7,Mild,"Farm FARM0008 located in East Africa is cultivating Maize. The soil moisture is 27.1%, pH level is 5.72, and temperature is 22.26°C. Rainfall recorded is 296.33 mm with a humidity of 80.34% and sunlight duration of 5.44 hours. Irrigation type used is Sprinkler. Fertilizer type is Mixed with a pesticide usage of 47.61 ml. Crop sowing started on 2024-01-24 and is expected to be harvested by 2024-05-24, spanning 121 days. Yield is 5264.09 kg/hectare. Sensor used is SENS0008 with data recorded on 2024-04-30. Location coordinates are (23.317654, 72.51521). NDVI index is 0.7 and crop disease status is Mild."
FARM0009,Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,2024-03-12,2024-07-08,118,5598.46,SENS0009,2024-05-08,13.025105,74.493947,0.5,Mild,"Farm FARM0009 located in Central USA is cultivating Soybean. The soil moisture is 40.54%, pH level is 6.35, and temperature is 19.24°C. Rainfall recorded is 184.82 mm with a humidity of 76.5% and sunlight duration of 5.21 hours. Irrigation type used is Manual. Fertilizer type is Inorganic with a pesticide usage of 49.78 ml. Crop sowing started on 2024-03-12 and is expected to be harvested by 2024-07-08, spanning 118 days. Yield is 5598.46 kg/hectare. Sensor used is SENS0009 with data recorded on 2024-05-08. Location coordinates are (13.025105, 74.493947). NDVI index is 0.5 and crop disease status is Mild."
FARM0010,East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,2024-01-18,2024-04-25,98,4893.41,SENS0010,2024-03-31,24.405291,74.859945,0.58,Severe,"Farm FARM0010 located in East Africa is cultivating Rice. The soil moisture is 10.25%, pH level is 6.92, and temperature is 16.18°C. Rainfall recorded is 66.85 mm with a humidity of 41.57% and sunlight duration of 5.98 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 35.1 ml. Crop sowing started on 2024-01-18 and is expected to be harvested by 2024-04-25, spanning 98 days. Yield is 4893.41 kg/hectare. Sensor used is SENS0010 with data recorded on 2024-03-31. Location coordinates are (24.405291, 74.859945). NDVI index is 0.58 and crop disease status is Severe."
FARM0011,South India,Wheat,13.39,6.36,23.47,166.76,76.45,8.04,Drip,Organic,23.12,2024-02-26,2024-07-20,145,2437.08,SENS0011,2024-04-15,14.755223,78.972271,0.55,Moderate,"Farm FARM0011 located in South India is cultivating Wheat. The soil moisture is 13.39%, pH level is 6.36, and temperature is 23.47°C. Rainfall recorded is 166.76 mm with a humidity of 76.45% and sunlight duration of 8.04 hours. Irrigation type used is Drip. Fertilizer type is Organic with a pesticide usage of 23.12 ml. Crop sowing started on 2024-02-26 and is expected to be harvested by 2024-07-20, spanning 145 days. Yield is 2437.08 kg/hectare. Sensor used is SENS0011 with data recorded on 2024-04-15. Location coordinates are (14.755223, 78.972271). NDVI index is 0.55 and crop disease status is Moderate."
FARM0012,South USA,Rice,40.61,5.65,31.16,263.99,44.9,7.91,Drip,Organic,46.69,2024-01-06,2024-05-01,116,3942.56,SENS0012,2024-02-02,31.61626,88.048857,0.4,None,"Farm FARM0012 located in South USA is cultivating Rice. The soil moisture is 40.61%, pH level is 5.65, and temperature is 31.16°C. Rainfall recorded is 263.99 mm with a humidity of 44.9% and sunlight duration of 7.91 hours. Irrigation type used is Drip. Fertilizer type is Organic with a pesticide usage of 46.69 ml. Crop sowing started on 2024-01-06 and is expected to be harvested by 2024-05-01, spanning 116 days. Yield is 3942.56 kg/hectare. Sensor used is SENS0012 with data recorded on 2024-02-02. Location coordinates are (31.61626, 88.048857). NDVI index is 0.4 and crop disease status is None."
FARM0013,South USA,Maize,42.43,7.07,20.7,224.15,76.53,8.7,None,Organic,13.55,2024-01-02,2024-05-08,127,4942.95,SENS0013,2024-01-17,28.699389,71.143305,0.65,Mild,"Farm FARM0013 located in South USA is cultivating Maize. The soil moisture is 42.43%, pH level is 7.07, and temperature is 20.7°C. Rainfall recorded is 224.15 mm with a humidity of 76.53% and sunlight duration of 8.7 hours. Irrigation type used is None. Fertilizer type is Organic with a pesticide usage of 13.55 ml. Crop sowing started on 2024-01-02 and is expected to be harvested by 2024-05-08, spanning 127 days. Yield is 4942.95 kg/hectare. Sensor used is SENS0013 with data recorded on 2024-01-17. Location coordinates are (28.699389, 71.143305). NDVI index is 0.65 and crop disease status is Mild."
FARM0014,North India,Soybean,12.8,5.87,26.9,218.8,51.76,4.72,Sprinkler,Mixed,31.75,2024-03-03,2024-06-27,116,4629.49,SENS0014,2024-05-14,23.069568,88.694125,0.42,Moderate,"Farm FARM0014 located in North India is cultivating Soybean. The soil moisture is 12.8%, pH level is 5.87, and temperature is 26.9°C. Rainfall recorded is 218.8 mm with a humidity of 51.76% and sunlight duration of 4.72 hours. Irrigation type used is Sprinkler. Fertilizer type is Mixed with a pesticide usage of 31.75 ml. Crop sowing started on 2024-03-03 and is expected to be harvested by 2024-06-27, spanning 116 days. Yield is 4629.49 kg/hectare. Sensor used is SENS0014 with data recorded on 2024-05-14. Location coordinates are (23.069568, 88.694125). NDVI index is 0.42 and crop disease status is Moderate."
FARM0015,South India,Maize,23.85,6.84,21.0,129.04,77.59,4.44,None,Mixed,49.93,2024-01-03,2024-05-06,124,2852.62,SENS0015,2024-02-05,13.311414,76.980177,0.34,Mild,"Farm FARM0015 located in South India is cultivating Maize. The soil moisture is 23.85%, pH level is 6.84, and temperature is 21.0°C. Rainfall recorded is 129.04 mm with a humidity of 77.59% and sunlight duration of 4.44 hours. Irrigation type used is None. Fertilizer type is Mixed with a pesticide usage of 49.93 ml. Crop sowing started on 2024-01-03 and is expected to be harvested by 2024-05-06, spanning 124 days. Yield is 2852.62 kg/hectare. Sensor used is SENS0015 with data recorded on 2024-02-05. Location coordinates are (13.311414, 76.980177). NDVI index is 0.34 and crop disease status is Mild."
FARM0016,Central USA,Maize,15.52,7.17,29.07,202.92,89.36,7.92,Drip,Mixed,41.77,2024-02-22,2024-05-28,96,5755.72,SENS0016,2024-03-10,16.611648,87.794254,0.75,Mild,"Farm FARM0016 located in Central USA is cultivating Maize. The soil moisture is 15.52%, pH level is 7.17, and temperature is 29.07°C. Rainfall recorded is 202.92 mm with a humidity of 89.36% and sunlight duration of 7.92 hours. Irrigation type used is Drip. Fertilizer type is Mixed with a pesticide usage of 41.77 ml. Crop sowing started on 2024-02-22 and is expected to be harvested by 2024-05-28, spanning 96 days. Yield is 5755.72 kg/hectare. Sensor used is SENS0016 with data recorded on 2024-03-10. Location coordinates are (16.611648, 87.794254). NDVI index is 0.75 and crop disease status is Mild."
FARM0017,Central USA,Maize,31.17,6.94,19.07,208.56,53.2,6.93,Drip,Organic,33.54,2024-02-02,2024-05-02,90,3334.23,SENS0017,2024-02-18,25.927834,75.239105,0.74,Severe,"Farm FARM0017 located in Central USA is cultivating Maize. The soil moisture is 31.17%, pH level is 6.94, and temperature is 19.07°C. Rainfall recorded is 208.56 mm with a humidity of 53.2% and sunlight duration of 6.93 hours. Irrigation type used is Drip. Fertilizer type is Organic with a pesticide usage of 33.54 ml. Crop sowing started on 2024-02-02 and is expected to be harvested by 2024-05-02, spanning 90 days. Yield is 3334.23 kg/hectare. Sensor used is SENS0017 with data recorded on 2024-02-18. Location coordinates are (25.927834, 75.239105). NDVI index is 0.74 and crop disease status is Severe."
